well,time_point,row,plate_column,mean_pixel_value,med_pixel_value,max_pixel_value,total_pixel_value,num_pixels,num_saturated,six_well_position,name,spot_inducer,spot_concentration_mM,distance_spot
A12,0,A,12,0.028513072,0.02745098,0.035294118,4.105882353,144,0,A2,ZG,IPTG,5,13.5
A12,1,A,12,0.02796841,0.02745098,0.035294118,4.02745098,144,0,A2,ZG,IPTG,5,13.5
A12,2,A,12,0.028077342,0.02745098,0.035294118,4.043137255,144,0,A2,ZG,IPTG,5,13.5
A12,3,A,12,0.027369281,0.02745098,0.031372549,3.941176471,144,0,A2,ZG,IPTG,5,13.5
A12,4,A,12,0.028050109,0.02745098,0.035294118,4.039215686,144,0,A2,ZG,IPTG,5,13.5
A12,5,A,12,0.027668845,0.02745098,0.031372549,3.984313725,144,0,A2,ZG,IPTG,5,13.5
A12,6,A,12,0.02788671,0.02745098,0.035294118,4.015686275,144,0,A2,ZG,IPTG,5,13.5
A12,7,A,12,0.027750545,0.02745098,0.031372549,3.996078431,144,0,A2,ZG,IPTG,5,13.5
A12,8,A,12,0.027641612,0.02745098,0.035294118,3.980392157,144,0,A2,ZG,IPTG,5,13.5
A12,9,A,12,0.027478214,0.02745098,0.031372549,3.956862745,144,0,A2,ZG,IPTG,5,13.5
A12,10,A,12,0.027641612,0.02745098,0.031372549,3.980392157,144,0,A2,ZG,IPTG,5,13.5
A12,11,A,12,0.027559913,0.02745098,0.035294118,3.968627451,144,0,A2,ZG,IPTG,5,13.5
A12,12,A,12,0.027369281,0.02745098,0.031372549,3.941176471,144,0,A2,ZG,IPTG,5,13.5
A12,13,A,12,0.027668845,0.02745098,0.031372549,3.984313725,144,0,A2,ZG,IPTG,5,13.5
A12,14,A,12,0.027478214,0.02745098,0.031372549,3.956862745,144,0,A2,ZG,IPTG,5,13.5
A12,15,A,12,0.027342048,0.02745098,0.035294118,3.937254902,144,0,A2,ZG,IPTG,5,13.5
A12,16,A,12,0.027369281,0.02745098,0.031372549,3.941176471,144,0,A2,ZG,IPTG,5,13.5
A12,17,A,12,0.027559913,0.02745098,0.035294118,3.968627451,144,0,A2,ZG,IPTG,5,13.5
A12,18,A,12,0.028295207,0.02745098,0.035294118,4.074509804,144,0,A2,ZG,IPTG,5,13.5
A12,19,A,12,0.027995643,0.02745098,0.035294118,4.031372549,144,0,A2,ZG,IPTG,5,13.5
A12,20,A,12,0.028077342,0.02745098,0.035294118,4.043137255,144,0,A2,ZG,IPTG,5,13.5
A12,21,A,12,0.028104575,0.02745098,0.035294118,4.047058824,144,0,A2,ZG,IPTG,5,13.5
A12,22,A,12,0.029003268,0.02745098,0.035294118,4.176470588,144,0,A2,ZG,IPTG,5,13.5
A12,23,A,12,0.029248366,0.02745098,0.035294118,4.211764706,144,0,A2,ZG,IPTG,5,13.5
A12,24,A,12,0.029466231,0.029411765,0.035294118,4.243137255,144,0,A2,ZG,IPTG,5,13.5
A12,25,A,12,0.030119826,0.031372549,0.035294118,4.337254902,144,0,A2,ZG,IPTG,5,13.5
A12,26,A,12,0.030528322,0.031372549,0.035294118,4.396078431,144,0,A2,ZG,IPTG,5,13.5
A12,27,A,12,0.03172658,0.031372549,0.035294118,4.568627451,144,0,A2,ZG,IPTG,5,13.5
A12,28,A,12,0.032652505,0.031372549,0.039215686,4.701960784,144,0,A2,ZG,IPTG,5,13.5
A12,29,A,12,0.033278867,0.031372549,0.039215686,4.792156863,144,0,A2,ZG,IPTG,5,13.5
A12,30,A,12,0.034313725,0.035294118,0.039215686,4.941176471,144,0,A2,ZG,IPTG,5,13.5
A12,31,A,12,0.035348584,0.035294118,0.039215686,5.090196078,144,0,A2,ZG,IPTG,5,13.5
A12,32,A,12,0.036928105,0.035294118,0.039215686,5.317647059,144,0,A2,ZG,IPTG,5,13.5
A12,33,A,12,0.03828976,0.039215686,0.043137255,5.51372549,144,0,A2,ZG,IPTG,5,13.5
A12,34,A,12,0.039515251,0.039215686,0.047058824,5.690196078,144,0,A2,ZG,IPTG,5,13.5
A12,35,A,12,0.040958606,0.039215686,0.047058824,5.898039216,144,0,A2,ZG,IPTG,5,13.5
A12,36,A,12,0.042755991,0.043137255,0.050980392,6.156862745,144,0,A2,ZG,IPTG,5,13.5
A12,37,A,12,0.045343137,0.047058824,0.050980392,6.529411765,144,0,A2,ZG,IPTG,5,13.5
A12,38,A,12,0.045833333,0.047058824,0.050980392,6.6,144,0,A2,ZG,IPTG,5,13.5
A12,39,A,12,0.048937908,0.047058824,0.054901961,7.047058824,144,0,A2,ZG,IPTG,5,13.5
A12,40,A,12,0.050599129,0.050980392,0.054901961,7.28627451,144,0,A2,ZG,IPTG,5,13.5
A12,41,A,12,0.053376906,0.054901961,0.062745098,7.68627451,144,0,A2,ZG,IPTG,5,13.5
A12,42,A,12,0.055310458,0.054901961,0.062745098,7.964705882,144,0,A2,ZG,IPTG,5,13.5
A12,43,A,12,0.057570806,0.058823529,0.070588235,8.290196078,144,0,A2,ZG,IPTG,5,13.5
A12,44,A,12,0.060185185,0.058823529,0.066666667,8.666666667,144,0,A2,ZG,IPTG,5,13.5
A12,45,A,12,0.063126362,0.062745098,0.070588235,9.090196078,144,0,A2,ZG,IPTG,5,13.5
A12,46,A,12,0.066775599,0.066666667,0.078431373,9.615686275,144,0,A2,ZG,IPTG,5,13.5
A12,47,A,12,0.069471678,0.070588235,0.078431373,10.00392157,144,0,A2,ZG,IPTG,5,13.5
A12,48,A,12,0.072657952,0.070588235,0.08627451,10.4627451,144,0,A2,ZG,IPTG,5,13.5
A12,49,A,12,0.076089325,0.074509804,0.08627451,10.95686275,144,0,A2,ZG,IPTG,5,13.5
A12,50,A,12,0.079956427,0.078431373,0.090196078,11.51372549,144,0,A2,ZG,IPTG,5,13.5
A12,51,A,12,0.083006536,0.082352941,0.094117647,11.95294118,144,0,A2,ZG,IPTG,5,13.5
A12,52,A,12,0.086819172,0.08627451,0.098039216,12.50196078,144,0,A2,ZG,IPTG,5,13.5
A12,53,A,12,0.090577342,0.090196078,0.101960784,13.04313725,144,0,A2,ZG,IPTG,5,13.5
A12,54,A,12,0.094880174,0.094117647,0.105882353,13.6627451,144,0,A2,ZG,IPTG,5,13.5
A12,55,A,12,0.098638344,0.098039216,0.11372549,14.20392157,144,0,A2,ZG,IPTG,5,13.5
A12,56,A,12,0.102505447,0.101960784,0.117647059,14.76078431,144,0,A2,ZG,IPTG,5,13.5
A12,57,A,12,0.107543573,0.105882353,0.121568627,15.48627451,144,0,A2,ZG,IPTG,5,13.5
A12,58,A,12,0.111574074,0.109803922,0.125490196,16.06666667,144,0,A2,ZG,IPTG,5,13.5
A12,59,A,12,0.11712963,0.117647059,0.129411765,16.86666667,144,0,A2,ZG,IPTG,5,13.5
A12,60,A,12,0.1208061,0.121568627,0.137254902,17.39607843,144,0,A2,ZG,IPTG,5,13.5
A12,61,A,12,0.12622549,0.125490196,0.141176471,18.17647059,144,0,A2,ZG,IPTG,5,13.5
A21,0,A,21,0.024727669,0.023529412,0.031372549,3.560784314,144,0,A3,ZG,IPTG,10,13.5
A21,1,A,21,0.024455338,0.023529412,0.031372549,3.521568627,144,0,A3,ZG,IPTG,10,13.5
A21,2,A,21,0.02421024,0.023529412,0.031372549,3.48627451,144,0,A3,ZG,IPTG,10,13.5
A21,3,A,21,0.02412854,0.023529412,0.02745098,3.474509804,144,0,A3,ZG,IPTG,10,13.5
A21,4,A,21,0.024346405,0.023529412,0.02745098,3.505882353,144,0,A3,ZG,IPTG,10,13.5
A21,5,A,21,0.024046841,0.023529412,0.031372549,3.462745098,144,0,A3,ZG,IPTG,10,13.5
A21,6,A,21,0.024373638,0.023529412,0.02745098,3.509803922,144,0,A3,ZG,IPTG,10,13.5
A21,7,A,21,0.023910675,0.023529412,0.031372549,3.443137255,144,0,A3,ZG,IPTG,10,13.5
A21,8,A,21,0.024183007,0.023529412,0.031372549,3.482352941,144,0,A3,ZG,IPTG,10,13.5
A21,9,A,21,0.023937908,0.023529412,0.031372549,3.447058824,144,0,A3,ZG,IPTG,10,13.5
A21,10,A,21,0.023992375,0.023529412,0.031372549,3.454901961,144,0,A3,ZG,IPTG,10,13.5
A21,11,A,21,0.024101307,0.023529412,0.02745098,3.470588235,144,0,A3,ZG,IPTG,10,13.5
A21,12,A,21,0.023883442,0.023529412,0.02745098,3.439215686,144,0,A3,ZG,IPTG,10,13.5
A21,13,A,21,0.023883442,0.023529412,0.02745098,3.439215686,144,0,A3,ZG,IPTG,10,13.5
A21,14,A,21,0.023556645,0.023529412,0.02745098,3.392156863,144,0,A3,ZG,IPTG,10,13.5
A21,15,A,21,0.024155773,0.023529412,0.031372549,3.478431373,144,0,A3,ZG,IPTG,10,13.5
A21,16,A,21,0.023992375,0.023529412,0.02745098,3.454901961,144,0,A3,ZG,IPTG,10,13.5
A21,17,A,21,0.023828976,0.023529412,0.031372549,3.431372549,144,0,A3,ZG,IPTG,10,13.5
A21,18,A,21,0.024264706,0.023529412,0.02745098,3.494117647,144,0,A3,ZG,IPTG,10,13.5
A21,19,A,21,0.024455338,0.023529412,0.02745098,3.521568627,144,0,A3,ZG,IPTG,10,13.5
A21,20,A,21,0.024101307,0.023529412,0.031372549,3.470588235,144,0,A3,ZG,IPTG,10,13.5
A21,21,A,21,0.025136166,0.023529412,0.031372549,3.619607843,144,0,A3,ZG,IPTG,10,13.5
A21,22,A,21,0.024836601,0.023529412,0.031372549,3.576470588,144,0,A3,ZG,IPTG,10,13.5
