"well","time_point","row","plate_column","mean_pixel_value","med_pixel_value","max_pixel_value","total_pixel_value","num_pixels","num_saturated","six_well_position","name","spot_inducer","spot_concentration_mM","distance_spot"
"A12",0,"A",12,0.213453159041394,0.215686274509804,0.23921568627451,30.7372549019608,144,0,"A2","ZBD","IPTG",5,13.5
"A12",1,"A",12,0.212009803921569,0.211764705882353,0.231372549019608,30.5294117647059,144,0,"A2","ZBD","IPTG",5,13.5
"A12",2,"A",12,0.212118736383442,0.211764705882353,0.231372549019608,30.5450980392157,144,0,"A2","ZBD","IPTG",5,13.5
"A12",3,"A",12,0.210185185185185,0.209803921568627,0.235294117647059,30.2666666666667,144,0,"A2","ZBD","IPTG",5,13.5
"A12",4,"A",12,0.210076252723312,0.207843137254902,0.23921568627451,30.2509803921569,144,0,"A2","ZBD","IPTG",5,13.5
"A12",5,"A",12,0.209885620915033,0.207843137254902,0.231372549019608,30.2235294117647,144,0,"A2","ZBD","IPTG",5,13.5
"A12",6,"A",12,0.210457516339869,0.211764705882353,0.235294117647059,30.3058823529412,144,0,"A2","ZBD","IPTG",5,13.5
"A12",7,"A",12,0.211247276688453,0.211764705882353,0.23921568627451,30.4196078431373,144,0,"A2","ZBD","IPTG",5,13.5
"A12",8,"A",12,0.21181917211329,0.211764705882353,0.231372549019608,30.5019607843137,144,0,"A2","ZBD","IPTG",5,13.5
"A12",9,"A",12,0.210511982570806,0.211764705882353,0.227450980392157,30.3137254901961,144,0,"A2","ZBD","IPTG",5,13.5
"A12",10,"A",12,0.2135348583878,0.211764705882353,0.23921568627451,30.7490196078431,144,0,"A2","ZBD","IPTG",5,13.5
"A12",11,"A",12,0.211737472766885,0.211764705882353,0.231372549019608,30.4901960784314,144,0,"A2","ZBD","IPTG",5,13.5
"A12",12,"A",12,0.212690631808279,0.211764705882353,0.243137254901961,30.6274509803922,144,0,"A2","ZBD","IPTG",5,13.5
"A12",13,"A",12,0.212772331154684,0.211764705882353,0.231372549019608,30.6392156862745,144,0,"A2","ZBD","IPTG",5,13.5
"A12",14,"A",12,0.21437908496732,0.211764705882353,0.235294117647059,30.8705882352941,144,0,"A2","ZBD","IPTG",5,13.5
"A12",15,"A",12,0.21557734204793,0.215686274509804,0.235294117647059,31.043137254902,144,0,"A2","ZBD","IPTG",5,13.5
"A12",16,"A",12,0.218382352941176,0.219607843137255,0.23921568627451,31.4470588235294,144,0,"A2","ZBD","IPTG",5,13.5
